Date;Period;T;U;WW
18.06.2014;Вечер;11;0.8;4.0
19.06.2014;Ночь;11;0.8;4.0
19.06.2014;Утро;11;0.7;4.0
19.06.2014;День;11;0.5;4.0
19.06.2014;Вечер;11;0.8;3.0
20.06.2014;Ночь;11;0.9;3.0
20.06.2014;Утро;11;0.8;3.0
20.06.2014;День;11;0.5;4.0
20.06.2014;Вечер;11;0.4;4.0
21.06.2014;Ночь;11;0.8;3.0
21.06.2014;Утро;11;0.8;4.0
21.06.2014;День;11;0.5;4.0
21.06.2014;Вечер;11;0.5;4.0
22.06.2014;Ночь;11;0.8;4.0
22.06.2014;Утро;11;0.5;4.0
22.06.2014;День;11;0.5;4.0
22.06.2014;Вечер;11;0.5;4.0
23.06.2014;Ночь;11;0.8;3.0
23.06.2014;Утро;11;0.9;3.0
23.06.2014;День;11;0.9;3.0
23.06.2014;Вечер;11;0.8;4.0
24.06.2014;Ночь;9;0.9;4.0
24.06.2014;Утро;13;0.7;4.0
24.06.2014;День;13;0.7;3.0
24.06.2014;Вечер;13;0.7;4.0
25.06.2014;Ночь;13;0.9;3.0
25.06.2014;Утро;13;0.6;4.0
25.06.2014;День;13;0.6;4.0
25.06.2014;Вечер;13;0.5;4.0
26.06.2014;Ночь;10;0.8;4.0
26.06.2014;Утро;12;0.6;4.0
26.06.2014;День;12;0.5;4.0
26.06.2014;Вечер;12;0.5;4.0
27.06.2014;Ночь;12;0.8;4.0
27.06.2014;Утро;12;0.6;4.0
27.06.2014;День;12;0.4;4.0
27.06.2014;Вечер;12;0.6;4.0
28.06.2014;Ночь;12;0.9;4.0
28.06.2014;Утро;12;0.6;4.0
28.06.2014;День;18;0.5;4.0
28.06.2014;Вечер;18;0.4;4.0
29.06.2014;Ночь;13;0.8;4.0
29.06.2014;Утро;13;0.5;4.0
29.06.2014;День;13;0.5;3.0
29.06.2014;Вечер;13;0.8;3.0
30.06.2014;Ночь;13;1.0;3.0
30.06.2014;Утро;13;0.9;3.0
30.06.2014;День;13;0.9;3.0
30.06.2014;Вечер;19;0.9;4.0
01.07.2014;Ночь;19;0.9;4.0
01.07.2014;Утро;19;0.8;4.0
01.07.2014;День;17;0.7;4.0
01.07.2014;Вечер;17;0.8;4.0
02.07.2014;Ночь;14,5;0.9;4.0
02.07.2014;Утро;14,5;0.8;4.0
02.07.2014;День;17,5;0.6;4.0
02.07.2014;Вечер;17,5;0.7;4.0
03.07.2014;Ночь;17,5;0.8;4.0
03.07.2014;Утро;18;0.7;4.0
03.07.2014;День;18;0.6;3.0
03.07.2014;Вечер;18;0.6;4.0
04.07.2014;Ночь;14;0.8;3.0
04.07.2014;Утро;14;0.9;3.0
04.07.2014;День;14;0.8;4.0
04.07.2014;Вечер;14;0.7;4.0
05.07.2014;Ночь;14;0.8;4.0
05.07.2014;Утро;14;0.7;4.0
05.07.2014;День;14;0.5;4.0
05.07.2014;Вечер;14;0.7;4.0
06.07.2014;Ночь;14;1.0;4.0
06.07.2014;Утро;20;0.6;4.0
06.07.2014;День;20;0.4;4.0
06.07.2014;Вечер;20;0.5;4.0
07.07.2014;Ночь;20;0.8;4.0
07.07.2014;Утро;20;0.5;4.0
07.07.2014;День;20;0.4;4.0
07.07.2014;Вечер;20;0.5;4.0
08.07.2014;Ночь;20;0.8;4.0
08.07.2014;Утро;20;0.5;4.0
08.07.2014;День;20;0.4;4.0
08.07.2014;Вечер;20;0.4;4.0
09.07.2014;Ночь;20;0.8;4.0
09.07.2014;Утро;20;0.6;4.0
09.07.2014;День;20;0.5;4.0
09.07.2014;Вечер;21;0.6;4.0
10.07.2014;Ночь;21;0.8;4.0
10.07.2014;Утро;21;0.6;4.0
10.07.2014;День;21;0.5;4.0
10.07.2014;Вечер;21;0.6;4.0
11.07.2014;Ночь;12;0.8;4.0
11.07.2014;Утро;16;0.5;4.0
11.07.2014;День;16;0.5;4.0
11.07.2014;Вечер;19;0.4;4.0
12.07.2014;Ночь;19;0.8;4.0
12.07.2014;Утро;19;0.5;4.0
12.07.2014;День;24;0.4;4.0
12.07.2014;Вечер;24;0.6;4.0
13.07.2014;Ночь;24;0.7;4.0
13.07.2014;Утро;24;0.5;4.0
13.07.2014;День;24;0.4;4.0
13.07.2014;Вечер;24;0.4;4.0
14.07.2014;Ночь;22;0.6;4.0
14.07.2014;Утро;22;0.6;4.0
14.07.2014;День;22;0.5;4.0
14.07.2014;Вечер;22;1.0;3.0
15.07.2014;Ночь;19;0.9;4.0
15.07.2014;Утро;19;0.7;4.0
15.07.2014;День;19;0.5;4.0
15.07.2014;Вечер;19;1.0;3.0
16.07.2014;Ночь;19;0.9;4.0
16.07.2014;Утро;20;0.7;4.0
16.07.2014;День;20;0.5;4.0
16.07.2014;Вечер;20;0.6;4.0
17.07.2014;Ночь;18;0.8;4.0
17.07.2014;Утро;18;0.7;4.0
17.07.2014;День;18;0.5;4.0
17.07.2014;Вечер;18;0.6;4.0
18.07.2014;Ночь;18;0.9;4.0
18.07.2014;Утро;18;0.7;4.0
18.07.2014;День;18;0.5;4.0
18.07.2014;Вечер;18;0.6;4.0
19.07.2014;Ночь;18;0.9;4.0
19.07.2014;Утро;23;0.6;4.0
19.07.2014;День;25;0.4;4.0
19.07.2014;Вечер;25;0.5;4.0
20.07.2014;Ночь;25;0.9;4.0
20.07.2014;Утро;22;0.5;4.0
20.07.2014;День;22;0.4;4.0
20.07.2014;Вечер;22;0.4;4.0
21.07.2014;Ночь;22;0.7;4.0
21.07.2014;Утро;22;0.5;4.0
21.07.2014;День;22;0.5;4.0
21.07.2014;Вечер;22;0.5;4.0
22.07.2014;Ночь;22;0.9;4.0
22.07.2014;Утро;22;0.5;4.0
22.07.2014;День;22;0.5;4.0
22.07.2014;Вечер;22;0.5;4.0
23.07.2014;Ночь;22;0.9;4.0
23.07.2014;Утро;22;0.6;4.0
23.07.2014;День;22;0.5;4.0
23.07.2014;Вечер;22;0.6;4.0
24.07.2014;Ночь;22;0.9;4.0
24.07.2014;Утро;22;0.6;4.0
24.07.2014;День;22;0.4;4.0
24.07.2014;Вечер;22;0.4;4.0
25.07.2014;Ночь;22;0.9;4.0
25.07.2014;Утро;22;0.6;4.0
25.07.2014;День;22;0.5;4.0
25.07.2014;Вечер;22;0.6;4.0
26.07.2014;Ночь;22;0.9;4.0
26.07.2014;Утро;22;0.7;4.0
26.07.2014;День;30;0.4;4.0
26.07.2014;Вечер;26;0.6;4.0
27.07.2014;Ночь;20;0.9;4.0
27.07.2014;Утро;20;0.5;4.0
27.07.2014;День;20;0.3;4.0
27.07.2014;Вечер;20;0.4;4.0
28.07.2014;Ночь;20;0.7;4.0
28.07.2014;Утро;29;0.5;4.0
28.07.2014;День;30;0.4;4.0
28.07.2014;Вечер;30;0.4;4.0
29.07.2014;Ночь;22;0.7;4.0
29.07.2014;Утро;22;0.6;4.0
29.07.2014;День;28;0.6;4.0
29.07.2014;Вечер;28;0.6;4.0
30.07.2014;Ночь;21;0.9;4.0
30.07.2014;Утро;21;0.7;4.0
30.07.2014;День;21;0.5;4.0
30.07.2014;Вечер;21;0.7;4.0
31.07.2014;Ночь;21;0.8;4.0
31.07.2014;Утро;21;0.5;4.0
31.07.2014;День;21;0.3;4.0
31.07.2014;Вечер;21;0.6;4.0
01.08.2014;Ночь;21;0.8;3.0
01.08.2014;Утро;21;0.6;4.0
01.08.2014;День;26;0.4;4.0
01.08.2014;Вечер;26;0.6;4.0
02.08.2014;Ночь;26;0.7;4.0
02.08.2014;Утро;26;0.7;4.0
02.08.2014;День;26;0.5;4.0
02.08.2014;Вечер;26;0.5;4.0
03.08.2014;Ночь;26;0.9;4.0
03.08.2014;Утро;26;0.5;4.0
03.08.2014;День;29;0.4;4.0
03.08.2014;Вечер;29;0.5;4.0
04.08.2014;Ночь;29;0.8;4.0
04.08.2014;Утро;28;0.5;4.0
04.08.2014;День;28;0.4;4.0
04.08.2014;Вечер;28;0.6;4.0
05.08.2014;Ночь;28;0.8;4.0
05.08.2014;Утро;28;0.4;4.0
05.08.2014;День;30;0.2;4.0
05.08.2014;Вечер;30;0.5;4.0
06.08.2014;Ночь;30;0.7;4.0
06.08.2014;Утро;25;0.4;4.0
06.08.2014;День;29;0.3;4.0
06.08.2014;Вечер;29;0.5;4.0
07.08.2014;Ночь;29;0.8;4.0
07.08.2014;Утро;29;0.4;4.0
07.08.2014;День;28,5;0.4;3.0
07.08.2014;Вечер;28,5;0.6;4.0
08.08.2014;Ночь;22;0.8;3.0
08.08.2014;Утро;21,5;0.9;3.0
08.08.2014;День;21,5;0.7;4.0
08.08.2014;Вечер;21,5;0.6;4.0
09.08.2014;Ночь;21,5;0.3;4.0
09.08.2014;Утро;21,5;0.7;4.0
09.08.2014;День;26;0.5;4.0
09.08.2014;Вечер;26;0.7;4.0
10.08.2014;Ночь;26;0.8;4.0
10.08.2014;Утро;26;0.6;4.0
10.08.2014;День;26;0.6;4.0
10.08.2014;Вечер;23;0.7;4.0
11.08.2014;Ночь;19;0.9;4.0
11.08.2014;Утро;19;0.6;4.0
11.08.2014;День;27;0.5;4.0
11.08.2014;Вечер;26;0.5;4.0
12.08.2014;Ночь;22;0.8;4.0
12.08.2014;Утро;22;0.8;3.0
12.08.2014;День;22;0.8;3.0
12.08.2014;Вечер;22;0.6;4.0
13.08.2014;Ночь;22;0.9;3.0
13.08.2014;Утро;22;0.7;4.0
13.08.2014;День;22;0.6;4.0
13.08.2014;Вечер;22;0.8;4.0
14.08.2014;Ночь;16;0.8;4.0
14.08.2014;Утро;16;0.6;4.0
14.08.2014;День;21;0.6;3.0
14.08.2014;Вечер;21;0.8;4.0
15.08.2014;Ночь;15;1.0;2.0
15.08.2014;Утро;15;0.9;2.0
15.08.2014;День;21;0.6;4.0
15.08.2014;Вечер;21;0.7;4.0
16.08.2014;Ночь;21;0.8;4.0
16.08.2014;Утро;21;0.7;3.0
16.08.2014;День;21;0.7;3.0
16.08.2014;Вечер;21;0.8;4.0
17.08.2014;Ночь;21;0.9;4.0
17.08.2014;Утро;17;0.6;3.0
17.08.2014;День;17;0.6;4.0
17.08.2014;Вечер;19;0.7;4.0
18.08.2014;Ночь;19;0.9;4.0
18.08.2014;Утро;19;0.7;4.0
18.08.2014;День;19;0.5;4.0
18.08.2014;Вечер;19;0.6;4.0
19.08.2014;Ночь;19;0.7;4.0
19.08.2014;Утро;17;0.8;3.0
19.08.2014;День;19;0.6;4.0
19.08.2014;Вечер;19;0.6;4.0
20.08.2014;Ночь;19;0.8;4.0
20.08.2014;Утро;19;0.7;4.0
20.08.2014;День;19;0.5;4.0
